,식당이름,제목,위치,발행일,댓글수
0,플러스84,인사동 맛집 플러스84 수요미식회 방영 비빔쌀국수 & 반미,서울특별시 종로구 인사동16길 6,2022. 11. 7. 11:40,"
											2
										"
1,장수하늘소,인사동맛집 최고급 1++한우장수하늘소 인사점,서울특별시 종로구 인사동길 34-1,13시간 전,"
"
2,아지오,인사동 최초 이태리식당 맛집 아지오(Agio),서울특별시 종로구 인사동11길 23,2022. 7. 10. 15:31,x
3,꽃밥에피다,[안국역 인사동맛집] 꽃밥에피다 feat.비건코스 건강한 밥상,서울특별시 종로구 인사동16길 3-6,2022. 11. 9. 10:00,"
											16
										"
4,인사동칼국수 신길점,한우사골 육수 인사동 칼국수 신풍역 맛집 신풍역 칼국수,서울특별시 영등포구 여의대방로1길 3 한림캐슬 제지1층,2022. 12. 2. 14:23,"
											10
										"
5,장수하늘소,인사동맛집 장수하늘소인사점에서 만나는 장수군의 투쁠한우 ,서울특별시 종로구 인사동길 34-1,2022. 12. 12. 12:55,"
											2
										"
