,식당이름,제목,위치,발행일,댓글수
0,카페 툇마루,강원 강릉 맛집 강릉불고기초당점 & 카페 툇마루,강원도 강릉시 난설헌로 232 카페 툇마루,2022. 6. 28. 5:00,"
											3
										"
1,창바위식당,강원 고성 맛집 속초 점심 먹기 딱 좋은 창바위식당,강원도 고성군 토성면 원암학사평길 28 창바위식당,2022. 5. 23. 16:17,x
2,강원토속식당,영월 고씨동굴 맛집 강원토속식당 칡국수,강원도 영월군 김삿갓면 영월동로 1121-16,2022. 10. 26. 13:16,"
											1
										"
3,길매식당,"[내돈내산] 강원 홍천 순두부 맛집 ""길매식당"" 방문후기 (f.22개월아기)",강원도 홍천군 화촌면 구룡령로 214-3,2022. 9. 20. 10:31,"
											1
										"
4,시골할머니,아침식사되는 설악산 한식 맛집 강원나물밥 시골할머니 강원도여행,강원도 속초시 설악산로 214-1,2022. 6. 29. 8:10,"
											4
										"
5,강원수산횟집,평창 송어회 맛집 강원수산횟집 현지인 추천이에요,강원도 평창군 미탄면 송어길 30-4,2022. 3. 14. 11:28,"
											13
										"
